event_title,presenter_name,event_description
Networking,"Sayeed Sajal and Helen Hu, Committee Members"
Welcome,"Amanda Hughes, Committee Member"
Educator Honorable Mention,"Introduced by Helen Hu, Committee Member","Mark Ogden, Jordan Academy for Technology and Careers"
Educator Winner,"Introduced by Helen Hu, Committee Member","Rodger Brown, Granite Technical Institute"
Rising Stars,"Introduced by Rodger Brown, Granite Technical Institute"
Honorable Mentions,"Introduced by Kylie Wolfe, Lucid"
Winners,"Introduced by Xinru Page, Brigham Young University"
National Honorable Mentions,"Introduced by Amanda Hughes, Committee Member"
College Panel,"Moderated by Margarethe Posch, Salt Lake Community College","Panelists: Ekta Khoteja (BYU), Angela Layton (U of U), Paige Lovejoy (SLCC), Emma Lynn May (USU), Makenna Worley (Westminster)"
Thanks,"Thanks Sponsors, Industry Representatives, Teachers, College Representative, Parents"
